"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"7:12:28.0868419 PM","ctfmon.exe","3980","RegOpenKey","HKLM\SOFTWARE\Microsoft\Input\Settings\proc_1","SUCCESS","Desired Access: Query Value"
"7:12:28.0868565 PM","ctfmon.exe","3980","RegQueryValue","HKLM\SOFTWARE\Microsoft\Input\Settings\proc_1\MAXCANDIDATES","SUCCESS","Type: REG_DWORD, Length: 4, Data: 11"
"7:12:28.0868683 PM","ctfmon.exe","3980","RegCloseKey","HKLM\SOFTWARE\Microsoft\Input\Settings\proc_1","SUCCESS",""
"7:12:28.0868760 PM","ctfmon.exe","3980","RegCloseKey","HKLM\SOFTWARE\Microsoft\Input\Settings","SUCCESS",""
"7:12:28.0868847 PM","ctfmon.exe","3980","RegQueryKey","HKLM","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"7:12:28.0868920 PM","ctfmon.exe","3980","RegOpenKey","HKLM\Software\Microsoft\Input\Settings","SUCCESS","Desired Access: Read"
"7:12:28.0869021 PM","ctfmon.exe","3980","RegQueryKey","HKCU","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"7:12:28.0869091 PM","ctfmon.exe","3980","RegOpenKey","HKCU\Software\Microsoft\Input\Settings","NAME NOT FOUND","Desired Access: Read"
"7:12:28.0869197 PM","ctfmon.exe","3980","RegQueryKey","HKLM\SOFTWARE\Microsoft\Input\Settings","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"7:12:28.0869268 PM","ctfmon.exe","3980","RegOpenKey","HKLM\SOFTWARE\Microsoft\Input\Settings\proc_1\loc_0409\im_1","SUCCESS","Desired Access: Query Value"
"7:12:28.0869364 PM","ctfmon.exe","3980","RegQueryValue","HKLM\SOFTWARE\Microsoft\Input\Settings\proc_1\loc_0409\im_1\MAXCORRECTIONS","NAME NOT FOUND","Length: 144"
"7:12:28.0869450 PM","ctfmon.exe","3980","RegCloseKey","HKLM\SOFTWARE\Microsoft\Input\Settings\proc_1\loc_0409\im_1","SUCCESS",""
"7:12:28.0869527 PM","ctfmon.exe","3980","RegQueryKey","HKLM\SOFTWARE\Microsoft\Input\Settings","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"7:12:28.0869599 PM","ctfmon.exe","3980","RegOpenKey","HKLM\SOFTWARE\Microsoft\Input\Settings\proc_1\loc_0409","SUCCESS","Desired Access: Query Value"
"7:12:28.0869680 PM","ctfmon.exe","3980","RegQueryValue","HKLM\SOFTWARE\Microsoft\Input\Settings\proc_1\loc_0409\MAXCORRECTIONS","NAME NOT FOUND","Length: 144"
"7:12:28.0869754 PM","ctfmon.exe","3980","RegCloseKey","HKLM\SOFTWARE\Microsoft\Input\Settings\proc_1\loc_0409","SUCCESS",""
"7:12:28.0869824 PM","ctfmon.exe","3980","RegQueryKey","HKLM\SOFTWARE\Microsoft\Input\Settings","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"7:12:28.0869896 PM","ctfmon.exe","3980","RegOpenKey","HKLM\SOFTWARE\Microsoft\Input\Settings\proc_1","SUCCESS","Desired Access: Query Value"
"7:12:28.0869936 PM","Explorer.EXE","4184","RegQueryKey","HKCU\Software\Classes","SUCCESS","Query: Name"
"7:12:28.0869980 PM","ctfmon.exe","3980","RegQueryValue","HKLM\SOFTWARE\Microsoft\Input\Settings\proc_1\MAXCORRECTIONS","NAME NOT FOUND","Length: 144"
"7:12:28.0870074 PM","ctfmon.exe","3980","RegCloseKey","HKLM\SOFTWARE\Microsoft\Input\Settings\proc_1","SUCCESS",""
"7:12:28.0870143 PM","ctfmon.exe","3980","RegQueryValue","HKLM\SOFTWARE\Microsoft\Input\Settings\MAXCORRECTIONS","SUCCESS","Type: REG_DWORD, Length: 4, Data: 4"
"7:12:28.0870177 PM","Explorer.EXE","4184","RegQueryKey","HKCU\Software\Classes","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"7:12:28.0870229 PM","ctfmon.exe","3980","RegCloseKey","HKLM\SOFTWARE\Microsoft\Input\Settings","SUCCESS",""
"7:12:28.0870264 PM","Explorer.EXE","4184","RegQueryKey","HKCU\Software\Classes","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"7:12:28.0870305 PM","ctfmon.exe","3980","RegQueryKey","HKLM","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"7:12:28.0870371 PM","Explorer.EXE","4184","RegOpenKey","HKCU\Software\Classes\CLSID\{56AD4C5D-B908-4F85-8FF1-7940C29B3BCF}\Instance","NAME NOT FOUND","Desired Access: Read"
"7:12:28.0870376 PM","ctfmon.exe","3980","RegOpenKey","HKLM\Software\Microsoft\Input\Settings","SUCCESS","Desired Access: Read"
"7:12:28.0870476 PM","ctfmon.exe","3980","RegQueryKey","HKCU","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"7:12:28.0870537 PM","Explorer.EXE","4184","RegOpenKey","HKCR\CLSID\{56AD4C5D-B908-4F85-8FF1-7940C29B3BCF}\Instance","NAME NOT FOUND","Desired Access: Read"
"7:12:28.0870551 PM","ctfmon.exe","3980","RegOpenKey","HKCU\Software\Microsoft\Input\Settings","NAME NOT FOUND","Desired Access: Read"
"7:12:28.0870646 PM","ctfmon.exe","3980","RegQueryKey","HKLM\SOFTWARE\Microsoft\Input\Settings","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"7:12:28.0870716 PM","ctfmon.exe","3980","RegOpenKey","HKLM\SOFTWARE\Microsoft\Input\Settings\proc_1\loc_0409\im_1","SUCCESS","Desired Access: Query Value"
"7:12:28.0870800 PM","ctfmon.exe","3980","RegQueryValue","HKLM\SOFTWARE\Microsoft\Input\Settings\proc_1\loc_0409\im_1\MAXCANDIDATES","NAME NOT FOUND","Length: 144"
"7:12:28.0870883 PM","ctfmon.exe","3980","RegCloseKey","HKLM\SOFTWARE\Microsoft\Input\Settings\proc_1\loc_0409\im_1","SUCCESS",""
"7:12:28.0870957 PM","ctfmon.exe","3980","RegQueryKey","HKLM\SOFTWARE\Microsoft\Input\Settings","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"7:12:28.0871025 PM","ctfmon.exe","3980","RegOpenKey","HKLM\SOFTWARE\Microsoft\Input\Settings\proc_1\loc_0409","SUCCESS","Desired Access: Query Value"
"7:12:28.0871101 PM","ctfmon.exe","3980","RegQueryValue","HKLM\SOFTWARE\Microsoft\Input\Settings\proc_1\loc_0409\MAXCANDIDATES","NAME NOT FOUND","Length: 144"
"7:12:28.0871176 PM","ctfmon.exe","3980","RegCloseKey","HKLM\SOFTWARE\Microsoft\Input\Settings\proc_1\loc_0409","SUCCESS",""
"7:12:28.0871243 PM","ctfmon.exe","3980","RegQueryKey","HKLM\SOFTWARE\Microsoft\Input\Settings","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"7:12:28.0871311 PM","ctfmon.exe","3980","RegOpenKey","HKLM\SOFTWARE\Microsoft\Input\Settings\proc_1","SUCCESS","Desired Access: Query Value"
"7:12:28.0871385 PM","ctfmon.exe","3980","RegQueryValue","HKLM\SOFTWARE\Microsoft\Input\Settings\proc_1\MAXCANDIDATES","SUCCESS","Type: REG_DWORD, Length: 4, Data: 11"
"7:12:28.0871470 PM","ctfmon.exe","3980","RegCloseKey","HKLM\SOFTWARE\Microsoft\Input\Settings\proc_1","SUCCESS",""
"7:12:28.0871540 PM","ctfmon.exe","3980","RegCloseKey","HKLM\SOFTWARE\Microsoft\Input\Settings","SUCCESS",""
"7:12:28.0871609 PM","ctfmon.exe","3980","RegQueryKey","HKLM","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"7:12:28.0871675 PM","ctfmon.exe","3980","RegOpenKey","HKLM\Software\Microsoft\Input\Settings","SUCCESS","Desired Access: Read"
"7:12:28.0871758 PM","ctfmon.exe","3980","RegQueryKey","HKCU","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"7:12:28.0871826 PM","ctfmon.exe","3980","RegOpenKey","HKCU\Software\Microsoft\Input\Settings","NAME NOT FOUND","Desired Access: Read"
"7:12:28.0871913 PM","ctfmon.exe","3980","RegQueryKey","HKLM\SOFTWARE\Microsoft\Input\Settings","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"7:12:28.0871981 PM","ctfmon.exe","3980","RegOpenKey","HKLM\SOFTWARE\Microsoft\Input\Settings\proc_1\loc_0409\im_1","SUCCESS","Desired Access: Query Value"
"7:12:28.0872061 PM","ctfmon.exe","3980","RegQueryValue","HKLM\SOFTWARE\Microsoft\Input\Settings\proc_1\loc_0409\im_1\NotActiveLanguagePenalty","NAME NOT FOUND","Length: 144"
"7:12:28.0872143 PM","ctfmon.exe","3980","RegCloseKey","HKLM\SOFTWARE\Microsoft\Input\Settings\proc_1\loc_0409\im_1","SUCCESS",""
"7:12:28.0872214 PM","ctfmon.exe","3980","RegQueryKey","HKLM\SOFTWARE\Microsoft\Input\Settings","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"7:12:28.0872279 PM","ctfmon.exe","3980","RegOpenKey","HKLM\SOFTWARE\Microsoft\Input\Settings\proc_1\loc_0409","SUCCESS","Desired Access: Query Value"
"7:12:28.0872354 PM","ctfmon.exe","3980","RegQueryValue","HKLM\SOFTWARE\Microsoft\Input\Settings\proc_1\loc_0409\NotActiveLanguagePenalty","NAME NOT FOUND","Length: 144"
"7:12:28.0872425 PM","ctfmon.exe","3980","RegCloseKey","HKLM\SOFTWARE\Microsoft\Input\Settings\proc_1\loc_0409","SUCCESS",""
"7:12:28.0872491 PM","ctfmon.exe","3980","RegQueryKey","HKLM\SOFTWARE\Microsoft\Input\Settings","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"7:12:28.0872558 PM","ctfmon.exe","3980","RegOpenKey","HKLM\SOFTWARE\Microsoft\Input\Settings\proc_1","SUCCESS","Desired Access: Query Value"
"7:12:28.0872632 PM","ctfmon.exe","3980","RegQueryValue","HKLM\SOFTWARE\Microsoft\Input\Settings\proc_1\NotActiveLanguagePenalty","NAME NOT FOUND","Length: 144"
"7:12:28.0872717 PM","ctfmon.exe","3980","RegCloseKey","HKLM\SOFTWARE\Microsoft\Input\Settings\proc_1","SUCCESS",""
"7:12:28.0872781 PM","ctfmon.exe","3980","RegQueryValue","HKLM\SOFTWARE\Microsoft\Input\Settings\NotActiveLanguagePenalty","SUCCESS","Type: REG_DWORD, Length: 4, Data: 40"
"7:12:28.0872867 PM","ctfmon.exe","3980","RegCloseKey","HKLM\SOFTWARE\Microsoft\Input\Settings","SUCCESS",""
"7:12:28.0872948 PM","ctfmon.exe","3980","RegQueryKey","HKLM","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"7:12:28.0873017 PM","ctfmon.exe","3980","RegOpenKey","HKLM\Software\Microsoft\Input\Settings","SUCCESS","Desired Access: Read"
"7:12:28.0873101 PM","ctfmon.exe","3980","RegQueryKey","HKCU","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"7:12:28.0873170 PM","ctfmon.exe","3980","RegOpenKey","HKCU\Software\Microsoft\Input\Settings","NAME NOT FOUND","Desired Access: Read"
"7:12:28.0873260 PM","ctfmon.exe","3980","RegQueryKey","HKLM\SOFTWARE\Microsoft\Input\Settings","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"7:12:28.0873329 PM","ctfmon.exe","3980","RegOpenKey","HKLM\SOFTWARE\Microsoft\Input\Settings\proc_1\loc_0409\im_1","SUCCESS","Desired Access: Query Value"
"7:12:28.0873408 PM","ctfmon.exe","3980","RegQueryValue","HKLM\SOFTWARE\Microsoft\Input\Settings\proc_1\loc_0409\im_1\PREDICTIONPENALTY","SUCCESS","Type: REG_DWORD, Length: 4, Data: 7"
"7:12:28.0873500 PM","ctfmon.exe","3980","RegCloseKey","HKLM\SOFTWARE\Microsoft\Input\Settings\proc_1\loc_0409\im_1","SUCCESS",""
"7:12:28.0873571 PM","ctfmon.exe","3980","RegCloseKey","HKLM\SOFTWARE\Microsoft\Input\Settings","SUCCESS",""
"7:12:28.0873639 PM","ctfmon.exe","3980","RegQueryKey","HKLM","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"7:12:28.0873706 PM","ctfmon.exe","3980","RegOpenKey","HKLM\Software\Microsoft\Input\Settings","SUCCESS","Desired Access: Read"
"7:12:28.0873789 PM","ctfmon.exe","3980","RegQueryKey","HKCU","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"7:12:28.0873866 PM","ctfmon.exe","3980","RegOpenKey","HKCU\Software\Microsoft\Input\Settings","NAME NOT FOUND","Desired Access: Read"
"7:12:28.0873954 PM","ctfmon.exe","3980","RegQueryKey","HKLM\SOFTWARE\Microsoft\Input\Settings","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"7:12:28.0874023 PM","ctfmon.exe","3980","RegOpenKey","HKLM\SOFTWARE\Microsoft\Input\Settings\proc_1\loc_0409\im_1","SUCCESS","Desired Access: Query Value"
"7:12:28.0874100 PM","ctfmon.exe","3980","RegQueryValue","HKLM\SOFTWARE\Microsoft\Input\Settings\proc_1\loc_0409\im_1\EXACTMATCHMAXPROB","SUCCESS","Type: REG_DWORD, Length: 4, Data: 56"
"7:12:28.0874183 PM","ctfmon.exe","3980","RegCloseKey","HKLM\SOFTWARE\Microsoft\Input\Settings\proc_1\loc_0409\im_1","SUCCESS",""
"7:12:28.0874258 PM","ctfmon.exe","3980","RegCloseKey","HKLM\SOFTWARE\Microsoft\Input\Settings","SUCCESS",""
"7:12:28.0874329 PM","ctfmon.exe","3980","RegQueryKey","HKLM","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"7:12:28.0874399 PM","ctfmon.exe","3980","RegOpenKey","HKLM\Software\Microsoft\Input\Settings","SUCCESS","Desired Access: Read"
"7:12:28.0874431 PM","Explorer.EXE","4184","RegQueryKey","HKCU\Software\Classes","SUCCESS","Query: Name"
